56307	2452284.678997	2452284.679081	2452284.679188	2452284.679273	2284.678997	-16.53	7.42	-16.53
56308	2452284.741363	2452284.741447	2452284.741551	2452284.741636	2284.741363	-16.25	6.95	-16.25
#Group 1
98482	2454914.832280	2454914.832364	2454914.832075	2454914.832159	4914.832280	17.72	8.45	17.72
98483	2454914.894663	2454914.894747	2454914.894438	2454914.894522	4914.894663	19.46	8.32	19.46
98514	2454916.827926	2454916.828010	2454916.827686	2454916.827770	4916.827926	20.74	8.12	20.74
98560	2454919.696603	2454919.696687	2454919.696377	2454919.696461	4919.696603	19.56	8.12	19.56
98577	2454920.756784	2454920.756868	2454920.756545	2454920.756629	4920.756784	20.65	8.18	20.65
98607	2454922.627668	2454922.627752	2454922.627430	2454922.627515	4922.627668	20.54	8.19	20.54
98608	2454922.690017	2454922.690101	2454922.689793	2454922.689877	4922.690017	19.34	8.60	19.34
98609	2454922.752365	2454922.752449	2454922.752156	2454922.752240	4922.752365	18.06	8.60	18.06
98610	2454922.814727	2454922.814811	2454922.814519	2454922.814603	4922.814727	17.99	8.53	17.99

#Group 2
98850	2454937.781831	2454937.781915	2454937.781601	2454937.781685	4937.781831	19.87	8.19	19.87
98851	2454937.844195	2454937.844279	2454937.843964	2454937.844048	4937.844195	19.97	8.47	19.97
98865	2454938.717285	2454938.717369	2454938.717044	2454938.717128	4938.717285	20.85	8.26	20.85
98866	2454938.779611	2454938.779695	2454938.779406	2454938.779491	4938.779611	17.67	8.60	17.67
98896	2454940.650507	2454940.650591	2454940.650292	2454940.650376	4940.650507	18.60	7.48	18.60
98897	2454940.712869	2454940.712953	2454940.712655	2454940.712739	4940.712869	18.52	8.54	18.52
98898	2454940.775243	2454940.775327	2454940.775017	2454940.775102	4940.775243	19.49	7.41	19.49
98899	2454940.837637	2454940.837721	2454940.837380	2454940.837465	4940.837637	22.18	7.67	22.18
98914	2454941.773045	2454941.773129	2454941.772823	2454941.772907	4941.773045	19.19	8.33	19.19
98915	2454941.835408	2454941.835492	2454941.835186	2454941.835270	4941.835408	19.20	7.60	19.20
98928	2454942.646122	2454942.646206	2454942.645903	2454942.645987	4942.646122	18.94	8.54	18.94
98930	2454942.770852	2454942.770936	2454942.770628	2454942.770713	4942.770852	19.32	8.47	19.32
98931	2454942.833221	2454942.833305	2454942.832991	2454942.833076	4942.833221	19.85	8.47	19.85
98932	2454942.895591	2454942.895675	2454942.895354	2454942.895438	4942.895591	20.47	7.17	20.47
98945	2454943.706304	2454943.706388	2454943.706071	2454943.706155	4943.706304	20.13	8.61	20.13
98946	2454943.768653	2454943.768737	2454943.768434	2454943.768518	4943.768653	18.93	8.47	18.93
98947	2454943.831008	2454943.831092	2454943.830797	2454943.830881	4943.831008	18.25	8.13	18.25

#Group 3
99377	2454970.647033	2454970.647117	2454970.646819	2454970.646903	4970.647033	18.48	6.67	18.48
99378	2454970.709414	2454970.709498	2454970.709182	2454970.709266	4970.709414	20.05	6.61	20.05

#Group 4
99746	2454993.658926	2454993.659010	2454993.658708	2454993.658792	4993.658926	18.84	8.29	18.84
99826	2454998.647982	2454998.648066	2454998.647735	2454998.647820	4998.647982	21.31	7.76	21.31
99938	2455005.632601	2455005.632685	2455005.632374	2455005.632458	5005.632601	19.63	7.58	19.63

#Group 5
102028	2455135.970976	2455135.971060	2455135.970715	2455135.970799	5135.970976	22.57	7.84	22.57

#Group 6
102364	2455156.924900	2455156.924984	2455156.924630	2455156.924714	5156.924900	23.34	7.85	23.34
102365	2455156.987244	2455156.987328	2455156.986993	2455156.987077	5156.987244	21.71	8.05	21.71
102380	2455157.922708	2455157.922792	2455157.922435	2455157.922520	5157.922708	23.55	7.54	23.55
102397	2455158.982865	2455158.982949	2455158.982604	2455158.982688	5158.982865	22.58	7.79	22.58
102428	2455160.916107	2455160.916191	2455160.915852	2455160.915936	5160.916107	22.05	8.18	22.05
102429	2455160.978466	2455160.978550	2455160.978215	2455160.978299	5160.978466	21.71	8.31	21.71
102444	2455161.913906	2455161.913990	2455161.913657	2455161.913742	5161.913906	21.49	7.92	21.49
102445	2455161.976285	2455161.976369	2455161.976020	2455161.976105	5161.976285	22.88	7.60	22.88
102460	2455162.911738	2455162.911822	2455162.911463	2455162.911547	5162.911738	23.78	7.24	23.78

#Group 7
103150	2455205.942102	2455205.942186	2455205.941824	2455205.941909	5205.942102	24.00	8.47	24.00
103151	2455206.004463	2455206.004547	2455206.004187	2455206.004271	5206.004463	23.84	8.47	23.84
103166	2455206.939920	2455206.940004	2455206.939630	2455206.939714	5206.939920	25.08	8.60	25.08
103167	2455207.002308	2455207.002392	2455207.001993	2455207.002077	5207.002308	27.26	8.40	27.26
103197	2455208.873171	2455208.873255	2455208.872878	2455208.872962	5208.873171	25.33	8.34	25.33
103213	2455209.870977	2455209.871061	2455209.870683	2455209.870768	5209.870977	25.38	8.81	25.38
103214	2455209.933305	2455209.933389	2455209.933046	2455209.933131	5209.933305	22.37	8.21	22.37
103215	2455209.995687	2455209.995771	2455209.995409	2455209.995493	5209.995687	24.02	8.47	24.02
103263	2455212.989111	2455212.989195	2455212.988825	2455212.988910	5212.989111	24.68	8.14	24.68

#Group 8
103775	2455244.918892	2455244.918976	2455244.918601	2455244.918685	5244.918892	25.16	8.76	25.16
103776	2455244.981257	2455244.981341	2455244.980964	2455244.981048	5244.981257	25.34	8.22	25.34
103808	2455246.976864	2455246.976948	2455246.976575	2455246.976659	5246.976864	25.00	8.42	25.00

#Group 9
